,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
6,NYK,2010,1.06125,1.0540449438202248,0.040000000000000036,0.030000000000000027
7,DAL,2010,1.0591011235955057,1.0017241379310347,0.050000000000000044,0.050000000000000044
8,PHX,2010,1.0567415730337077,1.0619318181818183,0.050000000000000044,0.040000000000000036
9,CHI,2010,1.049431818181818,0.9624999999999998,0.050000000000000044,0.050000000000000044
10,POR,2010,1.0450000000000002,1.0275280898876404,0.040000000000000036,0.050000000000000044
11,ORL,2010,1.0442045454545454,0.975909090909091,0.030000000000000027,0.050000000000000044
12,MEM,2010,1.0338372093023254,1.0127586206896553,0.040000000000000036,0.050000000000000044
13,GSW,2010,1.0347126436781608,1.0579545454545456,0.050000000000000044,0.040000000000000036
14,UTA,2010,1.03875,1.061590909090909,0.040000000000000036,0.030000000000000027
15,DET,2010,1.0336363636363637,1.0657954545454547,0.030000000000000027,0.07000000000000006
16,PHI,2010,1.0186363636363638,1.0021348314606742,0.06000000000000005,0.040000000000000036
17,BOS,2010,1.021860465116279,0.9605617977528089,0.07000000000000006,0.05999999999999994
18,NOH,2010,1.0280459770114942,1.0175280898876404,0.030000000000000027,0.050000000000000044
19,TOR,2010,1.02375,1.0909090909090908,0.06000000000000005,0.050000000000000044
20,ATL,2010,1.0053932584269663,1.027840909090909,0.08000000000000007,0.050000000000000044
21,LAC,2010,1.0096629213483146,1.042758620689655,0.050000000000000044,0.050000000000000044
22,IND,2010,1.008314606741573,1.0220689655172415,0.050000000000000044,0.030000000000000027
23,MIN,2010,1.001460674157303,1.073953488372093,0.040000000000000036,0.020000000000000018
24,CHA,2010,0.9918181818181818,1.04,0.06000000000000005,0.020000000000000018
25,SAC,2010,0.9867415730337078,1.037816091954023,0.06000000000000005,0.050000000000000044
26,NJN,2010,0.9955555555555555,1.0645454545454547,0.040000000000000036,0.050000000000000044
27,WAS,2010,0.9824999999999999,1.057840909090909,0.050000000000000044,0.06000000000000005
28,CLE,2010,0.99438202247191,1.0926136363636363,0.050000000000000044,0.020000000000000018
29,MIL,2010,0.9739772727272727,0.9807865168539326,0.030000000000000027,0.050000000000000044
0,SAS,2011,1.0732584269662921,0.9898863636363636,0.050000000000000044,0.040000000000000036
